Commit SHA, Old function signature, New function signature
ad30c4ee9dcaedad15f11181b1f8ed7ffacc1cff, "void setParentClass(com.thoughtworks.qdox.model.JavaClass parentClass)", "void setParentClass(DefaultJavaMethod method, com.thoughtworks.qdox.model.JavaClass clazz)"
ad30c4ee9dcaedad15f11181b1f8ed7ffacc1cff, "void setParameters(com.thoughtworks.qdox.model.JavaParameter[] parameters)", "void setParameters(DefaultJavaMethod method, java.util.List<com.thoughtworks.qdox.model.JavaParameter> parameters)"
85ad7e306a5cfd5aeff54e6efee633341d28237e, "com.thoughtworks.qdox.model.JavaConstructor getConstructor(java.util.List<Type> parameterTypes)", "com.thoughtworks.qdox.model.JavaConstructor getConstructor(java.util.List<Type> parameterTypes, boolean varArgs)"
ec019f4a1a1b9601e2f5b474753ef3e1808c1bd1, "com.thoughtworks.qdox.model.ModelBuilder getModelBuilder()", "com.thoughtworks.qdox.builder.ModelBuilder getModelBuilder(java.net.URL url)"
ec019f4a1a1b9601e2f5b474753ef3e1808c1bd1, "java.util.Map parse(java.lang.String input)", "com.thoughtworks.qdox.model.JavaSource parse(java.io.Reader reader, java.net.URL url) throws com.thoughtworks.qdox.parser.ParseException"
e41562879216c55784d177a5db51df5810637e38, "com.thoughtworks.qdox.model.JavaClass getClassByName(java.lang.String name)", "com.thoughtworks.qdox.model.JavaClass getClassByName(com.thoughtworks.qdox.model.JavaClass clss, java.lang.String name)"
d190f83881018448499e28edc4d82bfea5b4d1c1, "java.lang.String toString()", "java.lang.String toString(java.lang.String str)"
dcaf7322b9e3028b005784bd037b9b479d6cb6ab, "java.lang.String getResolvedGenericFullyQualifiedName()", "java.lang.String getResolvedGenericFullyQualifiedName(java.util.List<TypeVariable> typeParameters)"
dcaf7322b9e3028b005784bd037b9b479d6cb6ab, "java.lang.String getResolvedFullyQualifiedName()", "java.lang.String getResolvedFullyQualifiedName(java.util.List<TypeVariable> typeParameters)"
588dd41dece056dfdc808a66b933ffc7c969b1db, "boolean isPrimitive()", "boolean isPrimitive(java.lang.String value)"
43df6d404d367bbde5db06fcb20f8ef38e7d552a, "int getTypeVariableIndex(com.thoughtworks.qdox.model.JavaClass superClass)", "int getTypeVariableIndex(com.thoughtworks.qdox.model.JavaClass declaringClass, java.lang.String fqn)"
3cde4c401eb2c3b442df40f609c460a2a8a20deb, "AbstractJavaEntity getContext()", "com.thoughtworks.qdox.model.JavaClass getContext(com.thoughtworks.qdox.model.JavaGenericDeclaration genericDeclaration)"
42905bdb6e757ff73c22dddd61077417347f9a65, "com.thoughtworks.qdox.model.Type resolve(com.thoughtworks.qdox.model.JavaClass parentClass, com.thoughtworks.qdox.model.JavaClass subclass)", "com.thoughtworks.qdox.model.Type resolve(com.thoughtworks.qdox.model.Type base, com.thoughtworks.qdox.model.JavaClass declaringClass, com.thoughtworks.qdox.model.JavaClass callingClass)"
